index,x_m,y_m,yaw_deg,direction,mode,drive_level,event
553,-13.182,9.799,-105.862,-1,2,1.00,NONE
554,-13.193,9.599,-114.066,-1,2,1.00,NONE
555,-13.239,9.406,-120.994,-1,2,1.00,NONE
556,-13.309,9.218,-127.474,-1,2,1.00,NONE
557,-13.397,9.040,-133.709,-1,2,1.00,NONE
558,-13.514,8.878,-137.846,-1,2,1.00,NONE
559,-13.646,8.728,-139.183,-1,2,1.00,NONE
560,-13.790,8.590,-137.839,-1,2,1.00,NONE
561,-13.946,8.465,-134.281,-1,2,1.00,NONE
562,-14.105,8.344,-130.025,-1,2,1.00,NONE
563,-14.250,8.207,-128.547,-1,2,1.00,NONE
564,-14.381,8.055,-131.797,-1,2,1.00,NONE
565,-14.502,7.896,-136.847,-1,2,1.00,NONE
